x0000,y0000,y_tun
0.000000501,6.76E-08,0.0676
0.000000502,6.72E-08,0.0672
0.000000503,6.68E-08,0.0668
0.000000504,6.64E-08,0.0664
0.000000505,0.000000066,0.066
0.000000506,6.56E-08,0.0656
0.000000507,6.52E-08,0.0652
0.000000508,6.48E-08,0.0648
0.000000509,6.44E-08,0.0644
0.00000051,6.41E-08,0.0641
0.000000511,6.37E-08,0.0637
0.000000512,6.33E-08,0.0633
0.000000513,6.29E-08,0.0629
0.000000514,6.26E-08,0.0626
0.000000515,6.22E-08,0.0622
0.000000516,6.18E-08,0.0618
0.000000517,6.15E-08,0.0615
0.000000518,6.11E-08,0.0611
0.000000519,6.07E-08,0.0607
0.00000052,6.04E-08,0.0604
0.000000521,0.00000006,0.06
0.000000522,5.97E-08,0.0597
0.000000523,5.93E-08,0.0593
0.000000524,0.000000059,0.059
0.000000525,5.86E-08,0.0586
0.000000526,5.83E-08,0.0583
0.000000527,5.79E-08,0.0579
0.000000528,5.76E-08,0.0576
0.000000529,5.73E-08,0.0573
0.00000053,5.69E-08,0.0569
0.000000531,5.66E-08,0.0566
0.000000532,5.62E-08,0.0562
0.000000533,5.59E-08,0.0559
0.000000534,5.56E-08,0.0556
0.000000535,5.53E-08,0.0553
0.000000536,5.49E-08,0.0549
0.000000537,5.46E-08,0.0546
0.000000538,5.43E-08,0.0543
0.000000539,0.000000054,0.054
0.00000054,5.36E-08,0.0536
0.000000541,5.33E-08,0.0533
0.000000542,0.000000053,0.053
0.000000543,5.27E-08,0.0527
0.000000544,5.24E-08,0.0524
0.000000545,5.21E-08,0.0521
0.000000546,5.18E-08,0.0518
0.000000547,5.15E-08,0.0515
0.000000548,5.12E-08,0.0512
0.000000549,5.09E-08,0.0509
0.00000055,5.06E-08,0.0506
0.000000551,5.03E-08,0.0503
0.000000552,0.00000005,0.05
0.000000553,4.97E-08,0.0497
0.000000554,4.94E-08,0.0494
0.000000555,4.91E-08,0.0491
0.000000556,4.88E-08,0.0488
0.000000557,4.85E-08,0.0485
0.000000558,4.82E-08,0.0482
0.000000559,0.000000048,0.048
0.00000056,4.77E-08,0.0477
0.000000561,4.74E-08,0.0474
0.000000562,4.71E-08,0.0471
0.000000563,4.68E-08,0.0468
0.000000564,4.66E-08,0.0466
0.000000565,4.63E-08,0.0463
0.000000566,0.000000046,0.046
0.000000567,4.57E-08,0.0457
0.000000568,4.55E-08,0.0455
0.000000569,4.52E-08,0.0452
0.00000057,4.49E-08,0.0449
0.000000571,4.47E-08,0.0447
0.000000572,4.44E-08,0.0444
0.000000573,4.41E-08,0.0441
0.000000574,4.39E-08,0.0439
0.000000575,4.36E-08,0.0436
0.000000576,4.34E-08,0.0434
0.000000577,4.31E-08,0.0431
0.000000578,4.29E-08,0.0429
0.000000579,4.26E-08,0.0426
